id,create_by,create_date,display_order,meta_descriptions,meta_keywords,meta_title,modified_by,modified_date,name,parent_id,show_on_home,status
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,COLLAGEN,NULL,NULL,1
2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Shiseido,1,NULL,1
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Neocell,1,NULL,1
4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Youtheory,1,NULL,1
5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Thương hiệu khác,1,NULL,1
6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NHAU THAI CỪU,NULL,NULL,1
7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tinh chất,6,NULL,1
8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dạng viên,6,NULL,1
9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dạng kem,6,NULL,1
10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Lanolin,9,NULL,1
11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Rebirth,9,NULL,1
12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Careline,9,NULL,1
13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Costar,9,NULL,1
14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Golden Health,9,NULL,1
15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Thương hiệu khác,9,NULL,1
16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SỮA ONG CHÚA,NULL,NULL,1
17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Costar,16,NULL,1
18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Golden Health,16,NULL,1
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sữa ong chúa Úc khác,16,NULL,1
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Rebirth,16,NULL,1
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sữa ong chúa Mỹ,16,NULL,1
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ĐẸP DA,NULL,NULL,1
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tảo biển,22,NULL,1
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nhật Bản,23,NULL,1
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Úc,23,NULL,1
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mỹ,23,NULL,1
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Viên trắng da, trị nám",22,NULL,1
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nhau thai heo,22,NULL,1
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,GIẢM CÂN,NULL,NULL,1
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Viên uống giảm cân,29,NULL,1
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Trà giảm cân,29,NULL,1
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Kem tan mỡ,29,NULL,1
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Thực phẩm giảm cân,29,NULL,1
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Miếng dán giảm cân,29,NULL,1
